DIALS 3.dev.1399-g5d3eb2eaa
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  experiments = imported.expt
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------

Finding spots in image 1 to 540...
Setting chunksize=27
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 3211 strong pixels on image 187
Found 3157 strong pixels on image 188
Found 3233 strong pixels on image 189
Found 3186 strong pixels on image 190
Found 3082 strong pixels on image 191
Found 3087 strong pixels on image 192
Found 3110 strong pixels on image 193
Found 3287 strong pixels on image 194
Found 3107 strong pixels on image 195
Found 3235 strong pixels on image 196
Found 3162 strong pixels on image 197
Found 3279 strong pixels on image 198
Found 3026 strong pixels on image 199
Found 3023 strong pixels on image 200
Found 3041 strong pixels on image 201
Found 3211 strong pixels on image 202
Found 3299 strong pixels on image 203
Found 3174 strong pixels on image 204
Found 3136 strong pixels on image 205
Found 3161 strong pixels on image 206
Found 3220 strong pixels on image 207
Found 3125 strong pixels on image 208
Found 3094 strong pixels on image 209
Found 3122 strong pixels on image 210
Found 3031 strong pixels on image 211
Found 3091 strong pixels on image 212
Found 3186 strong pixels on image 213
Found 3128 strong pixels on image 214
Found 3037 strong pixels on image 215
Found 3104 strong pixels on image 216
Found 3106 strong pixels on image 217
Found 3062 strong pixels on image 218
Found 3002 strong pixels on image 219
Found 3132 strong pixels on image 220
Found 3055 strong pixels on image 221
Found 3021 strong pixels on image 222
Found 3001 strong pixels on image 223
Found 3128 strong pixels on image 224
Found 3200 strong pixels on image 225
Found 3130 strong pixels on image 226
Found 3326 strong pixels on image 227
Found 3246 strong pixels on image 228
Found 3012 strong pixels on image 229
Found 2909 strong pixels on image 230
Found 2994 strong pixels on image 231
Found 2994 strong pixels on image 232
Found 2927 strong pixels on image 233
Found 2901 strong pixels on image 234
Found 2720 strong pixels on image 235
Found 3029 strong pixels on image 236
Found 3095 strong pixels on image 237
Found 3191 strong pixels on image 238
Found 2987 strong pixels on image 239
Found 3066 strong pixels on image 240
Found 3012 strong pixels on image 241
Found 3019 strong pixels on image 242
Found 2936 strong pixels on image 243
Found 3155 strong pixels on image 244
Found 3058 strong pixels on image 245
Found 2992 strong pixels on image 246
Found 3101 strong pixels on image 247
Found 3298 strong pixels on image 248
Found 3037 strong pixels on image 249
Found 3019 strong pixels on image 250
Found 2948 strong pixels on image 251
Found 2927 strong pixels on image 252
Found 3125 strong pixels on image 253
Found 3182 strong pixels on image 254
Found 3064 strong pixels on image 255
Found 3005 strong pixels on image 256
Found 2908 strong pixels on image 257
Found 2763 strong pixels on image 258
Found 2784 strong pixels on image 259
Found 2952 strong pixels on image 260
Found 3172 strong pixels on image 261
Found 3180 strong pixels on image 262
Found 3184 strong pixels on image 263
Found 2893 strong pixels on image 264
Found 3029 strong pixels on image 265
Found 2756 strong pixels on image 266
Found 2947 strong pixels on image 267
Found 3050 strong pixels on image 268
Found 2906 strong pixels on image 269
Found 2886 strong pixels on image 270
Found 2756 strong pixels on image 271
Found 2766 strong pixels on image 272
Found 2737 strong pixels on image 273
Found 2936 strong pixels on image 274
Found 3074 strong pixels on image 275
Found 3251 strong pixels on image 276
Found 3192 strong pixels on image 277
Found 2993 strong pixels on image 278
Found 2930 strong pixels on image 279
Found 2873 strong pixels on image 280
Found 2993 strong pixels on image 281
Found 3048 strong pixels on image 282
Found 2988 strong pixels on image 283
Found 3216 strong pixels on image 284
Found 3019 strong pixels on image 285
Found 3005 strong pixels on image 286
Found 3071 strong pixels on image 287
Found 3012 strong pixels on image 288
Found 2826 strong pixels on image 289
Found 3026 strong pixels on image 290
Found 2951 strong pixels on image 291
Found 2906 strong pixels on image 292
Found 3049 strong pixels on image 293
Found 2798 strong pixels on image 294
Found 3035 strong pixels on image 295
Found 3052 strong pixels on image 296
Found 2855 strong pixels on image 297
Found 2747 strong pixels on image 298
Found 2869 strong pixels on image 299
Found 3259 strong pixels on image 300
Found 3166 strong pixels on image 301
Found 3110 strong pixels on image 302
Found 3007 strong pixels on image 303
Found 2933 strong pixels on image 304
Found 3081 strong pixels on image 305
Found 2972 strong pixels on image 306
Found 3064 strong pixels on image 307
Found 3059 strong pixels on image 308
Found 2985 strong pixels on image 309
Found 2755 strong pixels on image 310
Found 2843 strong pixels on image 311
Found 2781 strong pixels on image 312
Found 2962 strong pixels on image 313
Found 3155 strong pixels on image 314
Found 2991 strong pixels on image 315
Found 2869 strong pixels on image 316
Found 2695 strong pixels on image 317
Found 2997 strong pixels on image 318
Found 3054 strong pixels on image 319
Found 3075 strong pixels on image 320
Found 2942 strong pixels on image 321
Found 3051 strong pixels on image 322
Found 3018 strong pixels on image 323
Found 2807 strong pixels on image 324
Found 3136 strong pixels on image 325
Found 3063 strong pixels on image 326
Found 2787 strong pixels on image 327
Found 2867 strong pixels on image 328
Found 2955 strong pixels on image 329
Found 2765 strong pixels on image 330
Found 2869 strong pixels on image 331
Found 2832 strong pixels on image 332
Found 2831 strong pixels on image 333
Found 2782 strong pixels on image 334
Found 2786 strong pixels on image 335
Found 2810 strong pixels on image 336
Found 3019 strong pixels on image 337
Found 2981 strong pixels on image 338
Found 2997 strong pixels on image 339
Found 2816 strong pixels on image 340
Found 2961 strong pixels on image 341
Found 2763 strong pixels on image 342
Found 2694 strong pixels on image 343
Found 2776 strong pixels on image 344
Found 2893 strong pixels on image 345
Found 2823 strong pixels on image 346
Found 2897 strong pixels on image 347
Found 2777 strong pixels on image 348
Found 3015 strong pixels on image 349
Found 3257 strong pixels on image 350
Found 3035 strong pixels on image 351
Found 2868 strong pixels on image 352
Found 2876 strong pixels on image 353
Found 2804 strong pixels on image 354
Found 2718 strong pixels on image 355
Found 2836 strong pixels on image 356
Found 2900 strong pixels on image 357
Found 2890 strong pixels on image 358
Found 2715 strong pixels on image 359
Found 2821 strong pixels on image 360
Found 2794 strong pixels on image 361
Found 2848 strong pixels on image 362
Found 2905 strong pixels on image 363
