DIALS 3.dev.345-gf2cdeb6c2
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  experiments = imported.expt
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------

Finding spots in image 1 to 720...
Setting chunksize=20
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 1588 strong pixels on image 187
Found 1437 strong pixels on image 188
Found 1732 strong pixels on image 189
Found 1777 strong pixels on image 190
Found 1673 strong pixels on image 191
Found 1559 strong pixels on image 192
Found 1542 strong pixels on image 193
Found 1474 strong pixels on image 194
Found 1868 strong pixels on image 195
Found 1787 strong pixels on image 196
Found 1705 strong pixels on image 197
Found 1376 strong pixels on image 198
Found 1533 strong pixels on image 199
Found 1680 strong pixels on image 200
Found 1658 strong pixels on image 201
Found 1638 strong pixels on image 202
Found 1633 strong pixels on image 203
Found 1416 strong pixels on image 204
Found 1417 strong pixels on image 205
Found 1638 strong pixels on image 206
Found 1502 strong pixels on image 207
Found 1580 strong pixels on image 208
Found 1807 strong pixels on image 209
Found 1734 strong pixels on image 210
Found 1472 strong pixels on image 211
Found 1501 strong pixels on image 212
Found 1576 strong pixels on image 213
Found 1394 strong pixels on image 214
Found 1633 strong pixels on image 215
Found 1710 strong pixels on image 216
Found 1649 strong pixels on image 217
Found 1551 strong pixels on image 218
Found 1736 strong pixels on image 219
Found 1560 strong pixels on image 220
Found 1770 strong pixels on image 221
Found 1692 strong pixels on image 222
Found 1776 strong pixels on image 223
Found 1626 strong pixels on image 224
Found 1660 strong pixels on image 225
Found 1462 strong pixels on image 226
Found 1628 strong pixels on image 227
Found 1913 strong pixels on image 228
Found 1697 strong pixels on image 229
Found 1708 strong pixels on image 230
Found 1533 strong pixels on image 231
Found 1584 strong pixels on image 232
Found 1668 strong pixels on image 233
Found 1550 strong pixels on image 234
Found 1564 strong pixels on image 235
Found 1564 strong pixels on image 236
Found 1744 strong pixels on image 237
Found 1610 strong pixels on image 238
Found 1649 strong pixels on image 239
Found 1687 strong pixels on image 240
Found 1783 strong pixels on image 241
Found 1696 strong pixels on image 242
Found 1764 strong pixels on image 243
Found 1765 strong pixels on image 244
Found 1538 strong pixels on image 245
Found 1612 strong pixels on image 246
Found 1619 strong pixels on image 247
Found 1763 strong pixels on image 248
Found 1798 strong pixels on image 249
Found 1671 strong pixels on image 250
Found 1613 strong pixels on image 251
Found 1562 strong pixels on image 252
Found 1560 strong pixels on image 253
Found 1712 strong pixels on image 254
Found 1490 strong pixels on image 255
Found 1599 strong pixels on image 256
Found 1805 strong pixels on image 257
Found 1550 strong pixels on image 258
Found 1790 strong pixels on image 259
Found 1740 strong pixels on image 260
Found 1683 strong pixels on image 261
Found 1458 strong pixels on image 262
Found 1535 strong pixels on image 263
Found 1626 strong pixels on image 264
Found 1456 strong pixels on image 265
Found 1697 strong pixels on image 266
Found 1928 strong pixels on image 267
Found 1950 strong pixels on image 268
Found 1674 strong pixels on image 269
Found 1871 strong pixels on image 270
Found 1634 strong pixels on image 271
Found 1641 strong pixels on image 272
Found 1723 strong pixels on image 273
Found 1912 strong pixels on image 274
Found 1903 strong pixels on image 275
Found 1627 strong pixels on image 276
Found 1664 strong pixels on image 277
Found 1614 strong pixels on image 278
Found 1810 strong pixels on image 279
Found 1865 strong pixels on image 280
Found 1717 strong pixels on image 281
Found 1598 strong pixels on image 282
Found 1531 strong pixels on image 283
Found 1644 strong pixels on image 284
Found 1661 strong pixels on image 285
Found 1655 strong pixels on image 286
Found 1664 strong pixels on image 287
Found 1510 strong pixels on image 288
Found 1786 strong pixels on image 289
Found 1731 strong pixels on image 290
Found 1747 strong pixels on image 291
Found 1635 strong pixels on image 292
Found 1694 strong pixels on image 293
Found 1732 strong pixels on image 294
Found 1505 strong pixels on image 295
Found 1574 strong pixels on image 296
Found 1562 strong pixels on image 297
Found 1610 strong pixels on image 298
Found 1799 strong pixels on image 299
Found 1764 strong pixels on image 300
Found 1879 strong pixels on image 301
Found 1574 strong pixels on image 302
Found 1682 strong pixels on image 303
Found 1510 strong pixels on image 304
Found 1493 strong pixels on image 305
Found 1458 strong pixels on image 306
Found 1584 strong pixels on image 307
Found 1659 strong pixels on image 308
Found 1581 strong pixels on image 309
Found 1552 strong pixels on image 310
Found 1575 strong pixels on image 311
Found 1649 strong pixels on image 312
Found 1710 strong pixels on image 313
Found 1644 strong pixels on image 314
Found 1508 strong pixels on image 315
Found 1499 strong pixels on image 316
Found 1568 strong pixels on image 317
Found 1679 strong pixels on image 318
Found 1754 strong pixels on image 319
Found 1475 strong pixels on image 320
Found 1430 strong pixels on image 321
Found 1466 strong pixels on image 322
Found 1459 strong pixels on image 323
Found 1662 strong pixels on image 324
Found 1820 strong pixels on image 325
Found 1646 strong pixels on image 326
Found 1538 strong pixels on image 327
Found 1563 strong pixels on image 328
Found 1464 strong pixels on image 329
Found 1665 strong pixels on image 330
Found 1480 strong pixels on image 331
Found 1348 strong pixels on image 332
Found 1426 strong pixels on image 333
Found 1721 strong pixels on image 334
Found 1210 strong pixels on image 335
Found 1403 strong pixels on image 336
Found 1520 strong pixels on image 337
Found 1381 strong pixels on image 338
Found 1488 strong pixels on image 339
Found 1433 strong pixels on image 340
Found 1488 strong pixels on image 341
Found 1307 strong pixels on image 342
Found 1535 strong pixels on image 343
Found 1379 strong pixels on image 344
Found 1442 strong pixels on image 345
Found 1201 strong pixels on image 346
Found 1409 strong pixels on image 347
Found 1470 strong pixels on image 348
Found 1490 strong pixels on image 349
Found 1298 strong pixels on image 350
Found 1510 strong pixels on image 351
Found 1418 strong pixels on image 352
