DIALS 1.14.32-g3faa4529d
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  datablock = datablock.json
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------


Finding spots in image 1 to 720...
Setting chunksize=20
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 852 strong pixels on image 198
Found 953 strong pixels on image 199
Found 1011 strong pixels on image 200
Found 963 strong pixels on image 201
Found 985 strong pixels on image 202
Found 963 strong pixels on image 203
Found 851 strong pixels on image 204
Found 823 strong pixels on image 205
Found 964 strong pixels on image 206
Found 847 strong pixels on image 207
Found 917 strong pixels on image 208
Found 1070 strong pixels on image 209
Found 1028 strong pixels on image 210
Found 878 strong pixels on image 211
Found 929 strong pixels on image 212
Found 932 strong pixels on image 213
Found 820 strong pixels on image 214
Found 959 strong pixels on image 215
Found 940 strong pixels on image 216
Found 939 strong pixels on image 217
Found 927 strong pixels on image 218
Found 1032 strong pixels on image 219
Found 933 strong pixels on image 220
Found 1054 strong pixels on image 221
Found 965 strong pixels on image 222
Found 1011 strong pixels on image 223
Found 949 strong pixels on image 224
Found 995 strong pixels on image 225
Found 902 strong pixels on image 226
Found 957 strong pixels on image 227
Found 1070 strong pixels on image 228
Found 925 strong pixels on image 229
Found 988 strong pixels on image 230
Found 928 strong pixels on image 231
Found 891 strong pixels on image 232
Found 956 strong pixels on image 233
Found 892 strong pixels on image 234
Found 903 strong pixels on image 235
Found 899 strong pixels on image 236
Found 1013 strong pixels on image 237
Found 928 strong pixels on image 238
Found 972 strong pixels on image 239
Found 980 strong pixels on image 240
Found 997 strong pixels on image 241
Found 935 strong pixels on image 242
Found 1009 strong pixels on image 243
Found 995 strong pixels on image 244
Found 910 strong pixels on image 245
Found 997 strong pixels on image 246
Found 892 strong pixels on image 247
Found 1011 strong pixels on image 248
Found 1062 strong pixels on image 249
Found 960 strong pixels on image 250
Found 952 strong pixels on image 251
Found 897 strong pixels on image 252
Found 947 strong pixels on image 253
Found 1025 strong pixels on image 254
Found 890 strong pixels on image 255
Found 1006 strong pixels on image 256
Found 1017 strong pixels on image 257
Found 953 strong pixels on image 258
Found 1063 strong pixels on image 259
Found 1040 strong pixels on image 260
Found 1015 strong pixels on image 261
Found 862 strong pixels on image 262
Found 949 strong pixels on image 263
Found 963 strong pixels on image 264
Found 860 strong pixels on image 265
Found 1016 strong pixels on image 266
Found 1111 strong pixels on image 267
Found 1123 strong pixels on image 268
Found 981 strong pixels on image 269
Found 1083 strong pixels on image 270
Found 991 strong pixels on image 271
Found 959 strong pixels on image 272
Found 974 strong pixels on image 273
Found 1109 strong pixels on image 274
Found 1081 strong pixels on image 275
Found 940 strong pixels on image 276
Found 953 strong pixels on image 277
Found 923 strong pixels on image 278
Found 993 strong pixels on image 279
Found 1070 strong pixels on image 280
Found 996 strong pixels on image 281
Found 958 strong pixels on image 282
Found 950 strong pixels on image 283
Found 1003 strong pixels on image 284
Found 1057 strong pixels on image 285
Found 973 strong pixels on image 286
Found 990 strong pixels on image 287
Found 922 strong pixels on image 288
Found 1018 strong pixels on image 289
Found 1058 strong pixels on image 290
Found 1039 strong pixels on image 291
Found 999 strong pixels on image 292
Found 1060 strong pixels on image 293
Found 1069 strong pixels on image 294
Found 905 strong pixels on image 295
Found 942 strong pixels on image 296
Found 994 strong pixels on image 297
Found 942 strong pixels on image 298
Found 1065 strong pixels on image 299
Found 1057 strong pixels on image 300
Found 1103 strong pixels on image 301
Found 956 strong pixels on image 302
Found 960 strong pixels on image 303
Found 923 strong pixels on image 304
Found 954 strong pixels on image 305
Found 909 strong pixels on image 306
Found 1002 strong pixels on image 307
Found 1060 strong pixels on image 308
Found 973 strong pixels on image 309
Found 945 strong pixels on image 310
Found 972 strong pixels on image 311
Found 1010 strong pixels on image 312
Found 1017 strong pixels on image 313
Found 995 strong pixels on image 314
Found 918 strong pixels on image 315
Found 918 strong pixels on image 316
Found 934 strong pixels on image 317
Found 979 strong pixels on image 318
Found 1116 strong pixels on image 319
Found 917 strong pixels on image 320
Found 944 strong pixels on image 321
Found 943 strong pixels on image 322
Found 931 strong pixels on image 323
Found 1022 strong pixels on image 324
Found 1124 strong pixels on image 325
Found 1042 strong pixels on image 326
Found 960 strong pixels on image 327
Found 1018 strong pixels on image 328
Found 914 strong pixels on image 329
Found 1067 strong pixels on image 330
Found 1005 strong pixels on image 331
Found 894 strong pixels on image 332
Found 919 strong pixels on image 333
Found 1031 strong pixels on image 334
Found 806 strong pixels on image 335
Found 891 strong pixels on image 336
Found 1005 strong pixels on image 337
Found 932 strong pixels on image 338
Found 953 strong pixels on image 339
Found 942 strong pixels on image 340
Found 1016 strong pixels on image 341
Found 900 strong pixels on image 342
Found 988 strong pixels on image 343
Found 931 strong pixels on image 344
Found 924 strong pixels on image 345
Found 835 strong pixels on image 346
Found 920 strong pixels on image 347
Found 960 strong pixels on image 348
Found 959 strong pixels on image 349
Found 896 strong pixels on image 350
Found 1028 strong pixels on image 351
Found 925 strong pixels on image 352
Found 896 strong pixels on image 353
Found 961 strong pixels on image 354
Found 954 strong pixels on image 355
Found 948 strong pixels on image 356
Found 1029 strong pixels on image 357
Found 915 strong pixels on image 358
Found 842 strong pixels on image 359
Found 966 strong pixels on image 360
Found 1051 strong pixels on image 361
Found 1015 strong pixels on image 362
Found 888 strong pixels on image 363
Found 918 strong pixels on image 364
Found 983 strong pixels on image 365
Found 928 strong pixels on image 366
Found 948 strong pixels on image 367
Found 1096 strong pixels on image 368
Found 942 strong pixels on image 369
Found 895 strong pixels on image 370
Found 842 strong pixels on image 371
Found 947 strong pixels on image 372
Found 997 strong pixels on image 373
Found 912 strong pixels on image 374
Found 954 strong pixels on image 375
Found 869 strong pixels on image 376
Found 886 strong pixels on image 377
Found 912 strong pixels on image 378
Found 847 strong pixels on image 379
Found 912 strong pixels on image 380
Found 914 strong pixels on image 381
Found 945 strong pixels on image 382
Found 816 strong pixels on image 383
Found 891 strong pixels on image 384
Found 837 strong pixels on image 385
Found 904 strong pixels on image 386
Found 969 strong pixels on image 387
Found 882 strong pixels on image 388
Found 971 strong pixels on image 389
Found 962 strong pixels on image 390
Found 921 strong pixels on image 391
Found 902 strong pixels on image 392
Found 903 strong pixels on image 393
Found 893 strong pixels on image 394
Found 847 strong pixels on image 395
Found 822 strong pixels on image 396
Found 925 strong pixels on image 397
Found 847 strong pixels on image 398
Found 935 strong pixels on image 399
Found 941 strong pixels on image 400
Found 852 strong pixels on image 401
Found 850 strong pixels on image 402
Found 880 strong pixels on image 403
Found 981 strong pixels on image 404
Found 885 strong pixels on image 405
Found 841 strong pixels on image 406
Found 904 strong pixels on image 407
Found 921 strong pixels on image 408
Found 860 strong pixels on image 409
Found 933 strong pixels on image 410
Found 841 strong pixels on image 411
Found 905 strong pixels on image 412
Found 928 strong pixels on image 413
Found 925 strong pixels on image 414
Found 940 strong pixels on image 415
Found 842 strong pixels on image 416
Found 799 strong pixels on image 417
Found 931 strong pixels on image 418
Found 847 strong pixels on image 419
Found 859 strong pixels on image 420
Found 792 strong pixels on image 421
Found 892 strong pixels on image 422
Found 844 strong pixels on image 423
Found 855 strong pixels on image 424
Found 840 strong pixels on image 425
Found 979 strong pixels on image 426
Found 855 strong pixels on image 427
Found 822 strong pixels on image 428
Found 818 strong pixels on image 429
Found 901 strong pixels on image 430
Found 978 strong pixels on image 431
Found 762 strong pixels on image 432
Found 865 strong pixels on image 433
Found 870 strong pixels on image 434
Found 786 strong pixels on image 435
Found 915 strong pixels on image 436
Found 910 strong pixels on image 437
Found 802 strong pixels on image 438
Found 893 strong pixels on image 439
Found 906 strong pixels on image 440
Found 857 strong pixels on image 441
Found 750 strong pixels on image 442
Found 874 strong pixels on image 443
Found 866 strong pixels on image 444
Found 885 strong pixels on image 445
Found 916 strong pixels on image 446
Found 801 strong pixels on image 447
Found 987 strong pixels on image 448
Found 849 strong pixels on image 449
Found 848 strong pixels on image 450
Found 893 strong pixels on image 451
Found 906 strong pixels on image 452
Found 814 strong pixels on image 453
Found 889 strong pixels on image 454
Found 869 strong pixels on image 455
Found 824 strong pixels on image 456
Found 840 strong pixels on image 457
Found 912 strong pixels on image 458
Found 819 strong pixels on image 459
Found 781 strong pixels on image 460
Found 858 strong pixels on image 461
Found 935 strong pixels on image 462
Found 949 strong pixels on image 463
Found 852 strong pixels on image 464
Found 931 strong pixels on image 465
Found 902 strong pixels on image 466
Found 857 strong pixels on image 467
Found 839 strong pixels on image 468
Found 992 strong pixels on image 469
Found 867 strong pixels on image 470
Found 809 strong pixels on image 471
Found 827 strong pixels on image 472
Found 999 strong pixels on image 473
Found 927 strong pixels on image 474
Found 831 strong pixels on image 475
Found 833 strong pixels on image 476
Found 885 strong pixels on image 477
Found 932 strong pixels on image 478
Found 893 strong pixels on image 479
Found 838 strong pixels on image 480
Found 837 strong pixels on image 481
Found 883 strong pixels on image 482
Found 819 strong pixels on image 483
Found 820 strong pixels on image 484
Found 869 strong pixels on image 485
Found 951 strong pixels on image 486
Found 894 strong pixels on image 487
Found 730 strong pixels on image 488
Found 758 strong pixels on image 489
Found 916 strong pixels on image 490
Found 871 strong pixels on image 491
Found 846 strong pixels on image 492
Found 878 strong pixels on image 493
Found 876 strong pixels on image 494
Found 935 strong pixels on image 495
Found 823 strong pixels on image 496
Found 870 strong pixels on image 497
Found 911 strong pixels on image 498
Found 756 strong pixels on image 499
Found 802 strong pixels on image 500
Found 895 strong pixels on image 501
Found 858 strong pixels on image 502
Found 861 strong pixels on image 503
Found 866 strong pixels on image 504
Found 949 strong pixels on image 505
Found 814 strong pixels on image 506
Found 905 strong pixels on image 507
Found 891 strong pixels on image 508
Found 857 strong pixels on image 509
Found 954 strong pixels on image 510
Found 884 strong pixels on image 511
Found 869 strong pixels on image 512
Found 898 strong pixels on image 513
Found 875 strong pixels on image 514
Found 939 strong pixels on image 515
Found 902 strong pixels on image 516
Found 905 strong pixels on image 517
Found 948 strong pixels on image 518
Found 847 strong pixels on image 519
Found 893 strong pixels on image 520
